,,,,,,,,,,,,,,,,,,7,,,,,,6,,,,,,3,5,4,,,,,,,2,,,1,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-1,,,,,,,,,,,,,,,,,,7,,,,,,6,,,,,,8,5,4,,,,,,,,,,,,,,
-3,,,,,,,,,,,,,,,,,,-3,,,,,,-3,,,,,,,,,,,,,,,,,,,,,,
-4,,,,,,,,,,,,,,,,,,-4,,,,,,-4,,,,,,,,,,,,,,,,,,,,,,
-5,,,,,,,,,,,,,,,,,,-5,,,,,,-5,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,11,,,,,,,,,,,,,,,,,,,,,,10,9,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,12,,,,,,,,,,,,,,,,,,,,,,,,,
-2,,,,,,,,,,,,,,,,,,-2,,,,,,-2,,,,,,,,,,,,,,,,,,,,,,
,,,,,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,-34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,17,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,,15,
,,,,,,,,,,,,,,,,,,,,,,,,,18,,,,,,,,,,,,,,,,,,,,,
,,,,,,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,-7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-8,,,,,,,,,,,,,,,,,,-8,,,,,,-8,,,,,,,,,,,,,,,,,,,,,,
,,,,,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,22,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,24,,,23,,,,,,,,,,,,,,,,,
-9,,,,,,,,,,,,,,,,,,-9,,,,,,-9,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,27,,,,,,,,26,,,,,,,,25,,,,,,
